epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58706,2.92684,3.63538,1.3345,0,0,0,0,2.62829,3.64466,1.16636,2e-05,2e-05,2e-05
2,12.811,2.58727,3.59597,1.21517,0,0,0,0,2.19356,3.62032,1.02,5.9406e-05,5.9406e-05,5.9406e-05
3,18.6205,1.8369,3.54997,0.9873,0.00667,0.01714,0.00341,0.00079,1.84451,3.60202,0.91515,9.802e-05,9.802e-05,9.802e-05
4,25.2481,2.02778,3.47721,0.94973,0.11111,0.28571,0.07176,0.01907,1.60753,3.54391,0.885,0.000135842,0.000135842,0.000135842
5,34.5777,1.64815,3.28293,0.88595,0.12222,0.31429,0.08183,0.02571,1.45794,3.53253,0.86977,0.000172872,0.000172872,0.000172872
6,44.4266,1.67673,3.08573,0.88105,0.09889,0.25429,0.06239,0.01741,1.45636,3.54321,0.86703,0.00020911,0.00020911,0.00020911
7,54.4929,1.56575,2.88835,0.86781,0.16556,0.42571,0.11817,0.04958,1.48938,3.47232,0.8701,0.000244556,0.000244556,0.000244556
8,63.2092,1.51541,2.72612,0.86451,0.18778,0.48286,0.1411,0.05335,1.44734,3.46788,0.86334,0.00027921,0.00027921,0.00027921
9,72.8979,1.61149,2.46821,0.86511,0.14667,0.37714,0.10402,0.03115,1.47143,3.48587,0.8662,0.000313072,0.000313072,0.000313072
10,82.8052,1.86449,2.33905,0.8859,0.12778,0.32857,0.08735,0.02424,1.52285,3.47555,0.8723,0.000346142,0.000346142,0.000346142
11,92.3533,1.54628,2.30808,0.87445,0.16,0.41143,0.11517,0.03181,1.47065,3.44236,0.86592,0.00037842,0.00037842,0.00037842
12,102.399,1.60232,2.19034,0.85657,0.17889,0.46,0.13264,0.03961,1.44806,3.40638,0.86257,0.000409906,0.000409906,0.000409906
13,112.509,1.69768,2.09174,0.8618,0.20889,0.53714,0.16322,0.05321,1.43766,3.35568,0.8598,0.0004406,0.0004406,0.0004406
14,122.586,1.56447,1.9764,0.85354,0.20556,0.52857,0.16523,0.05082,1.42587,3.31937,0.858,0.000470502,0.000470502,0.000470502
15,132.771,1.69423,1.93788,0.85313,0.15667,0.40286,0.12026,0.03309,1.44727,3.29382,0.86046,0.000499612,0.000499612,0.000499612
16,142.935,1.61383,1.80522,0.85141,0.17111,0.44,0.14149,0.04166,1.52893,3.23243,0.86993,0.00052793,0.00052793,0.00052793
17,152.124,1.54685,1.65541,0.87358,0.18778,0.48286,0.17594,0.06018,1.4641,3.15896,0.86412,0.000555456,0.000555456,0.000555456
18,162.5,1.54013,1.43232,0.86069,0.20111,0.51714,0.22417,0.07388,1.47363,3.11292,0.86443,0.00058219,0.00058219,0.00058219
19,172.648,2.07012,1.44464,0.89716,0.21111,0.54286,0.27303,0.07805,1.59914,3.06051,0.87843,0.000608132,0.000608132,0.000608132
20,182.866,1.64645,1.34226,0.86459,0.21778,0.56,0.29602,0.08847,1.52003,3.00039,0.87464,0.000633282,0.000633282,0.000633282
21,193.058,1.57689,1.22227,0.85349,0.20778,0.53429,0.29038,0.07689,1.62703,2.95996,0.88791,0.00065764,0.00065764,0.00065764
22,203.632,1.42876,1.17396,0.86004,0.22222,0.57143,0.37065,0.11608,1.4893,2.87598,0.87616,0.000681206,0.000681206,0.000681206
